id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
90,mei,DINAS PERIJINAN BANDUNG BARAT,SKH,64,640000,tidak
91,mei,COD BUNDA JAYA,EXP CORPORATE,106,7845581,potensial
92,mei,WOM FINANCE,SKH,50,322000,tidak
93,mei,ADIRA DINAMIKA FINANCE,SKH,3,90000,tidak
94,mei,MEGA FINANCE,SKH,0,0,tidak
95,mei,BJB,SKH,0,0,tidak
96,mei,PD ANANG,LOGISTIK,9,1376800,tidak
97,mei,KELULUSAN 2020,SKH,1421,11784500,potensial
98,juni,BPJS KESEHATAN,SKH,1222,9032500,potensial
99,juni,BLBI ABIYOSO,PPKH,123,3968500,potensial
100,juni,BPKP JABAR,SKH,256,2839000,potensial
101,juni,RSUD CIBABAT,EXP CORPORATE,2,25500,tidak
102,juni,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
103,juni,BPJS KETENAGAKERJAAN,SKH,990,7214001,potensial
104,juni,KPP PRATAMA SOREANG,SKH,5028,32288002,potensial
105,juni,KPP PRATAMA CIMAHI,SKH,19343,143217001,potensial
106,juni,ULTRAJAYA MILK INDUSTRY,SKH,451,12747000,potensial
107,juni,BALAI DIKLAT KEUANGAN,EXP CORPORATE,3,30000,tidak
108,juni,SINAR CONTINENTAL,EXP CORPORATE,104,2621000,tidak
109,juni,FAMILY ONLINE SHOP,EXP CORPORATE,36,4219015,tidak
110,juni,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,285,357691500,potensial
111,juni,PERIJINAN PEMKAB BANDUNG,SKH,85,855500,tidak
112,juni,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
113,juni,WOM FINANCE,SKH,0,0,tidak
114,juni,ADIRA DINAMIKA FINANCE,SKH,7,510000,tidak
115,juni,BPKAD,SKH,15802,145852460,potensial
116,juni,BJB,SKH,0,0,tidak
117,juni,PD ANANG,LOGISTIK,18,2945404,tidak
118,juni,KELULUSAN 2020,SKH,0,0,tidak
119,juli,BPJS KESEHATAN,SKH,626,4397000,potensial
120,juli,BLBI ABIYOSO,PPKH,1063,28928500,potensial
121,juli,BPKP JABAR,SKH,226,3115024,potensial
122,juli,RSUD CIBABAT,EXP CORPORATE,5,98500,tidak
123,juli,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
124,juli,BPJS KETENAGAKERJAAN,SKH,636,4774000,potensial
125,juli,KPP PRATAMA SOREANG,SKH,10960,58004500,potensial
126,juli,KPP PRATAMA CIMAHI,SKH,16227,115412503,potensial
127,juli,ULTRAJAYA MILK INDUSTRY,SKH,468,12438700,potensial
128,juli,BALAI DIKLAT KEUANGAN,EXP CORPORATE,1,15500,tidak
129,juli,SINAR CONTINENTAL,EXP CORPORATE,101,2419500,potensial
130,juli,FAMILY ONLINE SHOP,EXP CORPORATE,31,3537699,tidak
131,juli,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,325,415857500,potensial
132,juli,PERIJINAN PEMKAB BANDUNG,SKH,72,720000,tidak
133,juli,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
134,juli,WOM FINANCE,SKH,0,0,tidak
135,juli,ADIRA DINAMIKA FINANCE,SKH,1,15000,tidak
136,juli,BPKAD,SKH,31,286130,tidak
137,juli,BJB,SKH,0,0,tidak
138,juli,PD ANANG,LOGISTIK,12,2681303,tidak
139,juli,BPJS KIS PBI,SKH,2099,12594000,potensial
140,agustus,BPJS KESEHATAN,SKH,832,5161000,potensial
141,agustus,BLBI ABIYOSO,PPKH,480,7483500,potensial
142,agustus,BPKP JABAR,SKH,165,1697500,potensial
143,agustus,RSUD CIBABAT,EXP CORPORATE,14,140000,tidak
144,agustus,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
145,agustus,BPJS KETENAGAKERJAAN,SKH,496,3578500,potensial
146,agustus,KPP PRATAMA SOREANG,SKH,6400,32425000,potensial
147,agustus,KPP PRATAMA CIMAHI,SKH,12113,86348501,potensial
148,agustus,ULTRAJAYA MILK INDUSTRY,SKH,426,18580499,potensial
149,agustus,BALAI DIKLAT KEUANGAN,EXP CORPORATE,4,51000,tidak
150,agustus,SINAR CONTINENTAL,EXP CORPORATE,155,4581500,potensial
151,agustus,FAMILY ONLINE SHOP,EXP CORPORATE,12,1702997,tidak
152,agustus,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,370,470054000,potensial
153,agustus,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,263,351000,tidak
154,agustus,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
155,agustus,WOM FINANCE,SKH,78,490000,tidak
156,agustus,ADIRA DINAMIKA FINANCE,SKH,3,75000,tidak
157,agustus,BPKAD,SKH,0,0,tidak
158,agustus,BAPENDA,SKH,266,1729500,tidak
159,agustus,PD ANANG,LOGISTIK,22,369800,tidak
