id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
89,maret,COD BUNDA JAYA,EXP CORPORATE,459,42472996,potensial
90,maret,WOM FINANCE,SKH,437,2885000,potensial
91,maret,ADIRA DINAMIKA FINANCE,SKH,13,1335000,tidak
92,maret,MEGA FINANCE,SKH,619,4401500,potensial
93,maret,BPJS KESEHATAN,SKH,242,1694000,potensial
94,maret,BLBI ABIYOSO,PPKH,4,1127000,tidak
95,maret,BPKP JABAR,SKH,346,3749500,potensial
96,maret,RSUD CIBABAT,EXP CORPORATE,3,49000,tidak
97,maret,PT ANUGRAH DWIJAYA LOG,LOGISTIK,28,56040057,potensial
98,maret,BPJS KETENAGAKERJAAN,SKH,1238,9278500,potensial
99,maret,KPP PRATAMA SOREANG,SKH,805,7170500,potensial
100,maret,KPP PRATAMA CIMAHI,SKH,4799,34395000,potensial
101,maret,ULTRAJAYA MILK INDUSTRY,SKH,736,28573000,potensial
102,maret,BALAI DIKLAT KEUANGAN,EXP CORPORATE,11,183700,tidak
103,maret,SINAR CONTINENTAL,EXP CORPORATE,184,4740500,potensial
104,maret,FAMILY ONLINE SHOP,EXP CORPORATE,307,5827301,potensial
105,maret,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,425,500404500,potensial
106,maret,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,46,460000,tidak
107,maret,COD BUNDA JAYA,EXP CORPORATE,459,42472996,potensial
108,maret,WOM FINANCE,SKH,437,2885000,potensial
109,maret,ADIRA DINAMIKA FINANCE,SKH,13,1335000,tidak
110,maret,MEGA FINANCE,SKH,619,4401500,potensial
111,maret,BJB,SKH,2,25500,tidak
112,april,BPJS KESEHATAN,SKH,194,1367000,potensial
113,april,BLBI ABIYOSO,PPKH,0,0,tidak
114,april,BPKP JABAR,SKH,259,2895000,potensial
115,april,RSUD CIBABAT,EXP CORPORATE,1,15500,tidak
116,april,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
117,april,BPJS KETENAGAKERJAAN,SKH,5,161200,tidak
118,april,KPP PRATAMA SOREANG,SKH,431,3603000,potensial
119,april,KPP PRATAMA CIMAHI,SKH,956,6848500,potensial
120,april,ULTRAJAYA MILK INDUSTRY,EXP CORPORATE,79,2914000,potensial
121,april,BALAI DIKLAT KEUANGAN,EXP CORPORATE,0,0,tidak
122,april,SINAR CONTINENTAL,EXP CORPORATE,50,1856500,potensial
123,april,FAMILY ONLINE SHOP,EXP CORPORATE,13,1684400,potensial
124,april,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,136,160388000,potensial
125,april,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,26,260000,tidak
126,april,COD BUNDA JAYA,EXP CORPORATE,48,3706495,potensial
127,april,WOM FINANCE,SKH,227,1461000,potensial
128,april,ADIRA DINAMIKA FINANCE,SKH,1,15000,tidak
129,april,MEGA FINANCE,SKH,0,0,tidak
130,april,BJB,SKH,0,0,tidak
131,april,SEVENTMM,EXP CORPORATE,1,18000,tidak
132,maret,BJB,SKH,2,25500,tidak
133,april,BPJS KESEHATAN,SKH,194,1367000,potensial
134,april,BLBI ABIYOSO,PPKH,0,0,tidak
